ax,ay,az,gx,gy,gz,target
6.37,-1.24,8.14,0.25,-0.11,-0.0,IDLE
6.05,-0.67,8.34,0.26,-0.09,0.01,IDLE
6.42,-0.51,7.67,0.31,-0.09,0.0,IDLE
6.17,-0.83,7.68,0.29,-0.09,-0.02,IDLE
5.78,-1.13,7.96,0.24,-0.08,-0.01,IDLE
6.28,-0.54,7.73,0.26,-0.09,0.01,IDLE
6.84,-0.78,7.57,0.32,-0.12,0.01,IDLE
6.24,-0.91,8.22,0.29,-0.1,-0.01,IDLE
5.73,-1.01,8.49,0.24,-0.07,-0.02,IDLE
5.76,-0.54,7.79,0.27,-0.07,0.01,IDLE
6.33,-0.9,7.49,0.32,-0.1,0.02,IDLE
6.53,-1.03,7.79,0.28,-0.11,-0.01,IDLE
6.27,-0.72,8.12,0.24,-0.09,-0.02,IDLE
6.24,-0.4,7.94,0.28,-0.1,0.01,IDLE
5.97,-1.21,8.12,0.31,-0.09,0.02,IDLE
5.83,-0.84,7.88,0.27,-0.07,-0.01,IDLE
6.24,-0.57,7.47,0.24,-0.07,-0.02,IDLE
6.55,-0.66,7.81,0.29,-0.11,0.01,IDLE
6.19,-1.15,8.46,0.3,-0.11,0.03,IDLE
5.89,-0.77,8.07,0.27,-0.07,-0.01,IDLE
5.82,-0.48,7.76,0.25,-0.05,-0.03,IDLE
5.98,-0.71,7.66,0.28,-0.08,0.01,IDLE
6.26,-1.31,8.0,0.29,-0.11,0.02,IDLE
6.59,-0.68,7.82,0.28,-0.1,-0.0,IDLE
6.33,-0.24,7.71,0.27,-0.07,-0.02,IDLE
5.79,-1.0,8.03,0.28,-0.07,-0.0,IDLE
5.67,-1.24,8.2,0.28,-0.08,0.02,IDLE
6.24,-0.57,7.35,0.28,-0.08,-0.0,IDLE
6.77,-0.41,7.29,0.28,-0.09,-0.02,IDLE
6.32,-0.95,8.19,0.27,-0.1,0.0,IDLE
5.78,-1.09,8.51,0.27,-0.08,0.02,IDLE
6.06,-0.54,7.52,0.29,-0.07,0.0,IDLE
6.22,-0.38,7.25,0.29,-0.07,-0.02,IDLE
6.22,-1.2,7.94,0.26,-0.1,-0.0,IDLE
6.35,-0.94,8.22,0.26,-0.11,0.02,IDLE
6.54,-0.51,7.71,0.31,-0.1,0.01,IDLE
6.22,-0.74,7.66,0.29,-0.08,-0.02,IDLE
5.74,-1.06,7.99,0.24,-0.08,-0.01,IDLE
5.82,-0.83,7.83,0.25,-0.08,0.01,IDLE
6.65,-0.71,7.31,0.3,-0.11,0.01,IDLE
6.79,-0.75,7.72,0.29,-0.12,-0.01,IDLE
5.88,-0.95,8.45,0.25,-0.09,-0.01,IDLE
5.7,-0.68,8.09,0.27,-0.07,0.01,IDLE
6.21,-0.69,7.44,0.31,-0.09,0.01,IDLE
6.41,-0.96,7.56,0.28,-0.1,-0.01,IDLE
6.29,-0.89,7.89,0.24,-0.1,-0.01,IDLE
6.35,-0.56,8.07,0.28,-0.1,0.01,IDLE
6.15,-0.93,7.92,0.32,-0.1,0.01,IDLE
5.91,-0.99,7.91,0.28,-0.08,-0.01,IDLE
5.92,-0.63,7.69,0.24,-0.07,-0.02,IDLE
6.27,-0.71,7.62,0.28,-0.09,0.0,IDLE
6.65,-1.01,7.82,0.31,-0.12,0.02,IDLE
6.27,-0.91,8.26,0.28,-0.1,-0.0,IDLE
5.67,-0.49,8.1,0.25,-0.05,-0.03,IDLE
5.9,-0.72,7.76,0.28,-0.07,0.0,IDLE
6.24,-1.26,7.92,0.29,-0.11,0.02,IDLE
