ax,ay,az,gx,gy,gz,target
5.66,-0.94,8.22,0.35,-0.08,-0.07,ANOM1
5.52,-0.23,7.84,0.31,-0.07,-0.07,ANOM1
6.41,-0.46,7.72,0.36,-0.11,-0.05,ANOM1
6.38,-0.68,8.26,0.35,-0.14,-0.04,ANOM1
5.96,-0.16,8.25,0.32,-0.11,-0.08,ANOM1
5.52,0.45,8.07,0.29,-0.07,-0.08,ANOM1
5.92,0.1,7.67,0.32,-0.09,-0.04,ANOM1
6.05,-0.39,8.23,0.3,-0.13,0.0,ANOM1
6.15,0.31,7.72,0.27,-0.11,-0.03,ANOM1
6.14,0.65,7.9,0.25,-0.1,-0.02,ANOM1
6.31,-0.18,8.1,0.28,-0.13,0.04,ANOM1
5.78,-0.4,8.55,0.25,-0.12,0.07,ANOM1
5.81,0.11,7.57,0.24,-0.08,0.03,ANOM1
6.51,0.34,7.24,0.21,-0.09,0.03,ANOM1
6.74,-0.87,8.03,0.23,-0.14,0.08,ANOM1
5.97,-0.61,8.43,0.2,-0.12,0.09,ANOM1
6.04,-0.34,7.75,0.2,-0.07,0.04,ANOM1
6.12,-0.12,7.35,0.18,-0.06,0.03,ANOM1
6.35,-1.61,8.06,0.18,-0.11,0.07,ANOM1
6.05,-1.17,8.23,0.18,-0.1,0.08,ANOM1
6.52,-0.81,7.51,0.2,-0.07,0.03,ANOM1
6.41,-0.89,7.6,0.2,-0.08,0.02,ANOM1
5.84,-2.17,8.27,0.18,-0.09,0.06,ANOM1
5.64,-1.82,8.36,0.21,-0.07,0.07,ANOM1
6.48,-1.55,7.29,0.24,-0.06,0.04,ANOM1
6.62,-1.41,7.54,0.27,-0.08,0.03,ANOM1
5.66,-2.51,8.67,0.27,-0.08,0.07,ANOM1
5.47,-2.03,8.37,0.3,-0.06,0.06,ANOM1
6.11,-1.8,7.48,0.37,-0.07,0.03,ANOM1
